reference;type_article;designation;prix_achat;devise_prix_achat;prix_vente;devise_prix_vente;tva;remarque;marque;categorie;emplacement;unite
ART63744726;Produit;Porte-balayette a poser noir Warm Bronze Br. Pvd.;405;EUR;;MAD;20;;;;;
ART63744279;Produit;Porte-balayette a poser noir Matte White.;345;EUR;;MAD;20;;;;;
ART63744299;Produit;Porte-balayette a poser noir Matte Black.;345;EUR;;MAD;20;;;;;
ART63744031;Produit;Porte-balayette a poser noir Chrome.;256;EUR;;MAD;20;;;;;
ART63744149;Produit;Porte-balayette a poser noir Finox Brushed Nickel.;345;EUR;;MAD;20;;;;;
ART63744187;Produit;Porte-balayette a poser noir Aged Bronze.;405;EUR;;MAD;20;;;;;
ART63744030;Produit;Porte-balayette a poser noir Copper Pvd.;380;EUR;;MAD;20;;;;;
ART63744706;Produit;Porte-balayette a poser noir Black Metal Pvd.;380;EUR;;MAD;20;;;;;
ART63744707;Produit;Porte-balayette a poser noir Black Metal Br. Pvd.;405;EUR;;MAD;20;;;;;
ART63744716;Produit;Porte-balayette a poser noir Gold Brushed Pvd.;431;EUR;;MAD;20;;;;;
ART63744708;Produit;Porte-balayette a poser noir Copper Brushed Pvd.;405;EUR;;MAD;20;;;;;
ART63744246;Produit;Porte-balayette a poser noir Gold Pvd.;430;EUR;;MAD;20;;;;;
ART63744710;Produit;Porte-balayette a poser noir Brass Pvd.;380;EUR;;MAD;20;;;;;
ART63744720;Produit;Porte-balayette a poser noir Nickel Pvd.;380;EUR;;MAD;20;;;;;
ART63744727;Produit;Porte-balayette a poser noir Brass Brushed Pvd.;405;EUR;;MAD;20;;;;;
ART63744735;Produit;Porte-balayette a poser noir Warm Bronze Pvd.;380;EUR;;MAD;20;;;;;
ART63744713;Produit;Porte-balayette a poser noir Antique Brass.;405;EUR;;MAD;20;;;;;
ART63744845;Produit;Porte-balayette a poser noir Dark Bronze.;405;EUR;;MAD;20;;;;;
ART63537726;Produit;Mélangeur bain-douche quatre trous avec bec, inverseur, flexibles de raccordement 1,50m et douchette anticalcaire Warm Bronze Br. Pvd.;2,138;EUR;;MAD;20;;;;;
ART63537727;Produit;Mélangeur bain-douche quatre trous avec bec, inverseur, flexibles de raccordement 1,50m et douchette anticalcaire Brass Brushed Pvd.;2,138;EUR;;MAD;20;;;;;
ART63537299;Produit;Mélangeur bain-douche quatre trous avec bec, inverseur, flexibles de raccordement 1,50m et douchette anticalcaire Matte Black.;1,826;EUR;;MAD;20;;;;;
ART63537031;Produit;Mélangeur bain-douche quatre trous avec bec, inverseur, flexibles de raccordement 1,50m et douchette anticalcaire Chrome.;1,354;EUR;;MAD;20;;;;;
ART63537735;Produit;Mélangeur bain-douche quatre trous avec bec, inverseur, flexibles de raccordement 1,50m et douchette anticalcaire Warm Bronze Pvd.;2,003;EUR;;MAD;20;;;;;
ART63537713;Produit;Mélangeur bain-douche quatre trous avec bec, inverseur, flexibles de raccordement 1,50m et douchette anticalcaire Antique Brass.;2,138;EUR;;MAD;20;;;;;
ART63537149;Produit;Mélangeur bain-douche quatre trous avec bec, inverseur, flexibles de raccordement 1,50m et douchette anticalcaire Finox Brushed Nickel.;1,826;EUR;;MAD;20;;;;;
ART63537707;Produit;Mélangeur bain-douche quatre trous avec bec, inverseur, flexibles de raccordement 1,50m et douchette anticalcaire Black Metal Br. Pvd.;2,138;EUR;;MAD;20;;;;;
ART63537187;Produit;Mélangeur bain-douche quatre trous avec bec, inverseur, flexibles de raccordement 1,50m et douchette anticalcaire Aged Bronze.;2,138;EUR;;MAD;20;;;;;
ART63537708;Produit;Mélangeur bain-douche quatre trous avec bec, inverseur, flexibles de raccordement 1,50m et douchette anticalcaire Copper Brushed Pvd.;2,138;EUR;;MAD;20;;;;;
ART63537030;Produit;Mélangeur bain-douche quatre trous avec bec, inverseur, flexibles de raccordement 1,50m et douchette anticalcaire Copper Pvd.;2,003;EUR;;MAD;20;;;;;
ART63537710;Produit;Mélangeur bain-douche quatre trous avec bec, inverseur, flexibles de raccordement 1,50m et douchette anticalcaire Brass Pvd.;2,003;EUR;;MAD;20;;;;;
ART63537706;Produit;Mélangeur bain-douche quatre trous avec bec, inverseur, flexibles de raccordement 1,50m et douchette anticalcaire Black Metal Pvd.;2,003;EUR;;MAD;20;;;;;
ART63537720;Produit;Mélangeur bain-douche quatre trous avec bec, inverseur, flexibles de raccordement 1,50m et douchette anticalcaire Nickel Pvd.;2,003;EUR;;MAD;20;;;;;
ART59564726;Produit;Porte-serviette 45 cm à fixer sur le verre. Warm Bronze Br. Pvd.;390;EUR;;MAD;20;;;;;
ART59564707;Produit;Porte-serviette 45 cm à fixer sur le verre. Black Metal Br. Pvd.;390;EUR;;MAD;20;;;;;
ART59564708;Produit;Porte-serviette 45 cm à fixer sur le verre. Copper Brushed Pvd.;390;EUR;;MAD;20;;;;;
ART59564710;Produit;Porte-serviette 45 cm à fixer sur le verre. Brass Pvd.;365;EUR;;MAD;20;;;;;
ART59564720;Produit;Porte-serviette 45 cm à fixer sur le verre. Nickel Pvd.;365;EUR;;MAD;20;;;;;
ART59564727;Produit;Porte-serviette 45 cm à fixer sur le verre. Brass Brushed Pvd.;390;EUR;;MAD;20;;;;;
ART59564279;Produit;Porte-serviette 45 cm à fixer sur le verre. Matte White.;334;EUR;;MAD;20;;;;;
